country,state,city,sub-district,keyword
Indonesia,Aceh,Aceh Besar,Peukan Bada,Peukan Bada
Indonesia,Aceh,Aceh Besar,Mesjid Raya,Mesjid Raya
Indonesia,Aceh,Aceh Besar,Ingin Jaya,Ingin Jaya
Indonesia,Aceh,Aceh Besar,Kuta Baro,Kuta Baro
Indonesia,Aceh,Aceh Besar,Darussalam,Darussalam
Indonesia,Aceh,Aceh Besar,Pulo Aceh,Pulo Aceh
Indonesia,Aceh,Aceh Besar,Lembah Seulawah,Lembah Seulawah
Indonesia,Aceh,Aceh Besar,Kota Jantho,Kota Jantho
Indonesia,Aceh,Aceh Besar,Kota Cot Glie,Kota Cot Glie
Indonesia,Aceh,Aceh Besar,Kuta Malaka,Kuta Malaka
Indonesia,Aceh,Aceh Besar,Simpang Tiga,Simpang Tiga
Indonesia,Aceh,Aceh Besar,Darul Kamal,Darul Kamal
Indonesia,Aceh,Aceh Besar,Baitussalam,Baitussalam
Indonesia,Aceh,Aceh Besar,Krueng Barona Jaya,Krueng Barona Jaya
Indonesia,Aceh,Aceh Besar,Leupung,Leupung
Indonesia,Aceh,Aceh Besar,Blang Bintang,Blang Bintang
Indonesia,Aceh,Pidie,Batee,Batee
Indonesia,Aceh,Pidie,Delima,Delima
Indonesia,Aceh,Pidie,Geumpang,Geumpang
Indonesia,Aceh,Pidie,Glumpang  Tiga,Glumpang  Tiga
Indonesia,Aceh,Pidie,Indra Jaya,Indra Jaya
Indonesia,Aceh,Pidie,Kembang Tanjong,Kembang Tanjong
Indonesia,Aceh,Pidie,Kota Sigli,Kota Sigli
Indonesia,Aceh,Pidie,Mila,Mila
Indonesia,Aceh,Pidie,Muara Tiga,Muara Tiga
Indonesia,Aceh,Pidie,Mutiara,Mutiara
Indonesia,Aceh,Pidie,Padang Tiji,Padang Tiji
Indonesia,Aceh,Pidie,Peukan Baro,Peukan Baro
Indonesia,Aceh,Pidie,Pidie,Pidie
Indonesia,Aceh,Pidie,Sakti,Sakti
Indonesia,Aceh,Pidie,Simpang Tiga,Simpang Tiga
Indonesia,Aceh,Pidie,Tangse,Tangse
Indonesia,Aceh,Pidie,Tiro/Truseb,Tiro/Truseb
Indonesia,Aceh,Pidie,Keumala,Keumala
Indonesia,Aceh,Pidie,Mutiara Timur,Mutiara Timur
Indonesia,Aceh,Pidie,Grong-Grong,Grong-Grong
Indonesia,Aceh,Pidie,Mane,Mane
Indonesia,Aceh,Pidie,Glumpang  Baro,Glumpang  Baro
Indonesia,Aceh,Pidie,Titeue,Titeue
Indonesia,Aceh,Aceh Utara,Baktiya,Baktiya
Indonesia,Aceh,Aceh Utara,Dewantara,Dewantara
Indonesia,Aceh,Aceh Utara,Kuta Makmur,Kuta Makmur
Indonesia,Aceh,Aceh Utara,Lhoksukon,Lhoksukon
Indonesia,Aceh,Aceh Utara,Matangkuli,Matangkuli
Indonesia,Aceh,Aceh Utara,Muara Batu,Muara Batu
Indonesia,Aceh,Aceh Utara,Meurah Mulia,Meurah Mulia
Indonesia,Aceh,Aceh Utara,Samudera,Samudera
Indonesia,Aceh,Aceh Utara,Seunuddon,Seunuddon
Indonesia,Aceh,Aceh Utara,Syamtalira Aron,Syamtalira Aron
Indonesia,Aceh,Aceh Utara,Syamtalira Bayu,Syamtalira Bayu
Indonesia,Aceh,Aceh Utara,Tanah Luas,Tanah Luas
Indonesia,Aceh,Aceh Utara,Tanah Pasir,Tanah Pasir
Indonesia,Aceh,Aceh Utara,Tanah Jambo Aye,Tanah Jambo Aye
Indonesia,Aceh,Aceh Utara,Sawang,Sawang
Indonesia,Aceh,Aceh Utara,Nisam,Nisam
Indonesia,Aceh,Aceh Utara,Cot Girek,Cot Girek
Indonesia,Aceh,Aceh Utara,Langkahan,Langkahan
Indonesia,Aceh,Aceh Utara,Baktiya Barat,Baktiya Barat
Indonesia,Aceh,Aceh Utara,Paya Bakong,Paya Bakong
Indonesia,Aceh,Aceh Utara,Nibong,Nibong
Indonesia,Aceh,Aceh Utara,Simpang Kramat,Simpang Kramat
Indonesia,Aceh,Aceh Utara,Lapang,Lapang
Indonesia,Aceh,Aceh Utara,Pirak Timur,Pirak Timur
Indonesia,Aceh,Aceh Utara,Geuredong Pase,Geuredong Pase
Indonesia,Aceh,Aceh Utara,Banda Baro,Banda Baro
Indonesia,Aceh,Aceh Utara,Nisam Antara,Nisam Antara
Indonesia,Aceh,Simeulue,Simeulue Tengah,Simeulue Tengah
Indonesia,Aceh,Simeulue,Salang,Salang
Indonesia,Aceh,Simeulue,Teupah Barat,Teupah Barat
Indonesia,Aceh,Simeulue,Simeulue Timur,Simeulue Timur
Indonesia,Aceh,Simeulue,Teluk Dalam,Teluk Dalam
Indonesia,Aceh,Simeulue,Simeulue Barat,Simeulue Barat
Indonesia,Aceh,Simeulue,Teupah Selatan,Teupah Selatan
Indonesia,Aceh,Simeulue,Alapan,Alapan
Indonesia,Aceh,Simeulue,Teupah Tengah,Teupah Tengah
Indonesia,Aceh,Simeulue,Simeulue Cut,Simeulue Cut
Indonesia,Aceh,Aceh Singkil,Pulau Banyak,Pulau Banyak
Indonesia,Aceh,Aceh Singkil,Simpang Kanan,Simpang Kanan
Indonesia,Aceh,Aceh Singkil,Singkil,Singkil
Indonesia,Aceh,Aceh Singkil,Gunung Meriah,Gunung Meriah
Indonesia,Aceh,Aceh Singkil,Kota Baharu,Kota Baharu
Indonesia,Aceh,Aceh Singkil,Singkil Utara,Singkil Utara
Indonesia,Aceh,Aceh Singkil,Danau Paris,Danau Paris
Indonesia,Aceh,Aceh Singkil,Suro Makmur,Suro Makmur
Indonesia,Aceh,Aceh Singkil,Singkohor,Singkohor
Indonesia,Aceh,Aceh Singkil,Kuala Baru,Kuala Baru
Indonesia,Aceh,Aceh Singkil,Pulau Banyak Barat,Pulau Banyak Barat
Indonesia,Aceh,Bireuen,Samalanga,Samalanga
Indonesia,Aceh,Bireuen,Jeunieb,Jeunieb
Indonesia,Aceh,Bireuen,Peudada,Peudada
Indonesia,Aceh,Bireuen,Jeumpa,Jeumpa
Indonesia,Aceh,Bireuen,Peusangan,Peusangan
Indonesia,Aceh,Bireuen,Makmur,Makmur
Indonesia,Aceh,Bireuen,Gandapura,Gandapura
Indonesia,Aceh,Bireuen,Pandrah,Pandrah
Indonesia,Aceh,Bireuen,Juli,Juli
Indonesia,Aceh,Bireuen,Jangka,Jangka
Indonesia,Aceh,Bireuen,Simpang Mamplam,Simpang Mamplam
Indonesia,Aceh,Bireuen,Peulimbang,Peulimbang
Indonesia,Aceh,Bireuen,Kota Juang,Kota Juang
Indonesia,Aceh,Bireuen,Kuala,Kuala
Indonesia,Aceh,Bireuen,Peusangan Siblah Krueng,Peusangan Siblah Krueng
Indonesia,Aceh,Bireuen,Peusangan  Selatan,Peusangan  Selatan
Indonesia,Aceh,Bireuen,Kuta Blang,Kuta Blang
Indonesia,Aceh,Aceh Barat Daya,Blang Pidie,Blang Pidie
Indonesia,Aceh,Aceh Barat Daya,Tangan-Tangan,Tangan-Tangan
Indonesia,Aceh,Aceh Barat Daya,Manggeng,Manggeng
Indonesia,Aceh,Aceh Barat Daya,Susoh,Susoh
Indonesia,Aceh,Aceh Barat Daya,Kuala Batee,Kuala Batee
Indonesia,Aceh,Aceh Barat Daya,Babah Rot,Babah Rot
Indonesia,Aceh,Aceh Barat Daya,Setia,Setia
Indonesia,Aceh,Aceh Barat Daya,Jeumpa,Jeumpa
Indonesia,Aceh,Aceh Barat Daya,Lembah Sabil,Lembah Sabil
Indonesia,Aceh,Gayo Lues,Blangkejeren,Blangkejeren
Indonesia,Aceh,Gayo Lues,Kutapanjang,Kutapanjang
Indonesia,Aceh,Gayo Lues,Rikit Gaib,Rikit Gaib
Indonesia,Aceh,Gayo Lues,Terangun,Terangun
Indonesia,Aceh,Gayo Lues,Pining,Pining
Indonesia,Aceh,Gayo Lues,Blangpegayon,Blangpegayon
Indonesia,Aceh,Gayo Lues,Putri Betung,Putri Betung
Indonesia,Aceh,Gayo Lues,Dabun Gelang,Dabun Gelang
Indonesia,Aceh,Gayo Lues,Blangjerango,Blangjerango
Indonesia,Aceh,Gayo Lues,Teripe Jaya,Teripe Jaya
Indonesia,Aceh,Gayo Lues,Pantan Cuaca,Pantan Cuaca
Indonesia,Aceh,Aceh Jaya,Teunom,Teunom
Indonesia,Aceh,Aceh Jaya,Krueng Sabee,Krueng Sabee
Indonesia,Aceh,Aceh Jaya,Setia Bakti,Setia Bakti
Indonesia,Aceh,Aceh Jaya,Sampoiniet,Sampoiniet
Indonesia,Aceh,Aceh Jaya,Jaya,Jaya
Indonesia,Aceh,Aceh Jaya,Keude Panga,Keude Panga
Indonesia,Aceh,Aceh Jaya,Indra Jaya,Indra Jaya
Indonesia,Aceh,Aceh Jaya,Darul Hikmah,Darul Hikmah
Indonesia,Aceh,Aceh Jaya,Pasie Raya,Pasie Raya
Indonesia,Aceh,Nagan Raya,Kuala,Kuala
Indonesia,Aceh,Nagan Raya,Seunagan,Seunagan
Indonesia,Aceh,Nagan Raya,Seunagan Timur,Seunagan Timur
Indonesia,Aceh,Nagan Raya,Beutong,Beutong
Indonesia,Aceh,Nagan Raya,Darul Makmur,Darul Makmur
Indonesia,Aceh,Nagan Raya,Suka Makmue,Suka Makmue
Indonesia,Aceh,Nagan Raya,Kuala Pesisir,Kuala Pesisir
Indonesia,Aceh,Nagan Raya,Tadu Raya,Tadu Raya
Indonesia,Aceh,Nagan Raya,Tripa Makmur,Tripa Makmur
Indonesia,Aceh,Nagan Raya,Beutong Ateuh Banggalang,Beutong Ateuh Banggalang
Indonesia,Aceh,Aceh Tamiang,Manyak Payed,Manyak Payed
Indonesia,Aceh,Aceh Tamiang,Bendahara,Bendahara
Indonesia,Aceh,Aceh Tamiang,Karang Baru,Karang Baru
Indonesia,Aceh,Aceh Tamiang,Seruway,Seruway
Indonesia,Aceh,Aceh Tamiang,Kota Kuala Simpang,Kota Kuala Simpang
Indonesia,Aceh,Aceh Tamiang,Kejuruan Muda,Kejuruan Muda
Indonesia,Aceh,Aceh Tamiang,Tamiang Hulu,Tamiang Hulu
Indonesia,Aceh,Aceh Tamiang,Rantau,Rantau
Indonesia,Aceh,Aceh Tamiang,Banda Mulia,Banda Mulia
Indonesia,Aceh,Aceh Tamiang,Bandar Pusaka,Bandar Pusaka
Indonesia,Aceh,Aceh Tamiang,Tenggulun,Tenggulun
Indonesia,Aceh,Aceh Tamiang,Sekerak,Sekerak
Indonesia,Aceh,Bener Meriah,Pintu Rime Gayo,Pintu Rime Gayo
Indonesia,Aceh,Bener Meriah,Permata,Permata
Indonesia,Aceh,Bener Meriah,Syiah Utama,Syiah Utama
Indonesia,Aceh,Bener Meriah,Bandar,Bandar
Indonesia,Aceh,Bener Meriah,Bukit,Bukit
Indonesia,Aceh,Bener Meriah,Wih Pesam,Wih Pesam
Indonesia,Aceh,Bener Meriah,Timang Gajah,Timang Gajah
Indonesia,Aceh,Bener Meriah,Bener Kelipah,Bener Kelipah
Indonesia,Aceh,Bener Meriah,Mesidah,Mesidah
Indonesia,Aceh,Bener Meriah,Gajah Putih,Gajah Putih
Indonesia,Aceh,Pidie Jaya,Meureudu,Meureudu
Indonesia,Aceh,Pidie Jaya,Ulim,Ulim
Indonesia,Aceh,Pidie Jaya,Jangka Buya,Jangka Buya
Indonesia,Aceh,Pidie Jaya,Bandar Dua,Bandar Dua
Indonesia,Aceh,Pidie Jaya,Meurah Dua,Meurah Dua
Indonesia,Aceh,Pidie Jaya,Bandar Baru,Bandar Baru
Indonesia,Aceh,Pidie Jaya,Panteraja,Panteraja
Indonesia,Aceh,Pidie Jaya,Trienggadeng,Trienggadeng
Indonesia,Aceh,Banda Aceh,Baiturrahman,Baiturrahman
Indonesia,Aceh,Banda Aceh,Kuta Alam,Kuta Alam
Indonesia,Aceh,Banda Aceh,Meuraxa,Meuraxa
Indonesia,Aceh,Banda Aceh,Syiah Kuala,Syiah Kuala
Indonesia,Aceh,Banda Aceh,Lueng Bata,Lueng Bata
Indonesia,Aceh,Banda Aceh,Kuta Raja,Kuta Raja
Indonesia,Aceh,Banda Aceh,Banda Raya,Banda Raya
Indonesia,Aceh,Banda Aceh,Jaya Baru,Jaya Baru
Indonesia,Aceh,Banda Aceh,Ulee Kareng,Ulee Kareng
Indonesia,Aceh,Sabang,Sukakarya,Sukakarya
Indonesia,Aceh,Sabang,Sukajaya,Sukajaya
Indonesia,Aceh,Lhokseumawe,Muara Dua,Muara Dua
Indonesia,Aceh,Lhokseumawe,Banda Sakti,Banda Sakti
Indonesia,Aceh,Lhokseumawe,Blang Mangat,Blang Mangat
Indonesia,Aceh,Lhokseumawe,Muara Satu,Muara Satu
Indonesia,Aceh,Langsa,Langsa Timur,Langsa Timur
Indonesia,Aceh,Langsa,Langsa Barat,Langsa Barat
Indonesia,Aceh,Langsa,Langsa Kota,Langsa Kota
Indonesia,Aceh,Langsa,Langsa Lama,Langsa Lama
Indonesia,Aceh,Langsa,Langsa Baro,Langsa Baro
Indonesia,Aceh,Subulussalam,Simpang Kiri,Simpang Kiri
Indonesia,Aceh,Subulussalam,Penanggalan,Penanggalan
Indonesia,Aceh,Subulussalam,Rundeng,Rundeng
